country,geo,siec,type,unit,source,scenario,year,cap
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,1994,0.1
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,1995,0.1
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,1996,0.5
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,1997,2
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,1998,2.7
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,1999,3.3
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2000,3
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2001,4
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2002,5.4
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2003,5.2
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2004,6.3
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2005,8.4
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2006,15.3
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2007,16
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2008,18.5
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2009,22.6
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2010,36.6
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2011,70.1
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2012,88.1
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2013,89.5
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2014,100.9
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2015,110
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2016,108.6
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2017,132.6
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2018,121.8
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2019,145.9
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2020,145.5
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2021,145
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2022,149.7
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,2023,168.5
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,1990,2.5
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,1991,3.9
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,1992,5.3
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,1993,6.4
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,1994,7.5
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,1995,8.3
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,1996,9.4
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,1997,10.4
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,1998,12
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,1999,13.8
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2000,15.9
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2001,18.3
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2002,20.2
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2003,21.9
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2004,24.3
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2005,28.3
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2006,30.1
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2007,37.4
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2008,49.4
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2009,79.5
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2010,125.4
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2011,222.9
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2012,436.5
Switzerland,CH,RA400,Solar,MW,BFE,GES2023,2013,755.6
